Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1881,-.81,-.66,-.40,-.31,-.08,-1.17,-.60,-.31,-.40,-.53,-.61,-.19,-.51,-.54,-.68,-.26,-.69,-.51
1882,.04,-.19,-.16,-.65,-.44,-1.09,-.77,-.17,-.15,-.38,-.46,-.73,-.43,-.38,-.11,-.42,-.68,-.33
1883,-.73,-1.01,-.51,-.37,-.40,.40,-.06,-.21,-.51,-.62,-.74,-.44,-.43,-.46,-.82,-.43,.04,-.62
1884,-.65,-.40,-.45,-.99,-1.25,-.87,-.90,.10,-.41,-.83,-.87,-1.04,-.71,-.66,-.50,-.89,-.56,-.70
1885,-.97,-.84,-.96,-.91,-.54,-.98,-.67,-.21,-.20,-.08,-.43,-.03,-.57,-.65,-.95,-.81,-.62,-.24
1886,-.80,-.88,-.73,-.66,-.61,-.88,-.44,-.78,-.46,-.91,-.54,-.80,-.71,-.64,-.57,-.66,-.70,-.64
1887,-.89,-1.29,-.61,-.86,-.88,-.69,-.43,-.29,-.65,-.56,-.94,-.68,-.73,-.74,-.99,-.78,-.47,-.71
1888,-.76,-.85,-.93,-.34,-.78,-.59,-.39,-.38,-.44,-.30,-.09,-.20,-.50,-.54,-.77,-.68,-.45,-.28
1889,-.33,.12,.03,.08,.06,-.35,-.45,-.65,-.41,-.25,-.48,-.48,-.26,-.24,-.13,.06,-.49,-.38
1890,-.65,-.68,-.66,-.56,-.96,-.61,-.64,-.65,-.38,-.30,-.80,-.56,-.62,-.61,-.60,-.73,-.63,-.49
1891,-1.00,-1.10,-.56,-.72,-.53,-.62,-.78,-.62,-.56,-.62,-.61,-.03,-.65,-.69,-.89,-.60,-.68,-.60
1892,-.66,-.38,-.63,-.76,-.71,-.62,-.43,-.31,-.52,-.40,-.68,-.65,-.56,-.51,-.36,-.70,-.45,-.53
1893,-1.48,-1.05,-.64,-.71,-.78,-.73,-.20,-.40,-.32,-.15,-.19,-.44,-.59,-.61,-1.06,-.71,-.44,-.22
1894,-.92,-.69,-.46,-.70,-.71,-.54,-.43,-.38,-.48,-.15,-.21,-.22,-.49,-.51,-.68,-.63,-.45,-.28
1895,-.74,-.84,-.56,-.52,-.35,-.34,-.58,-.24,-.18,-.14,-.20,-.12,-.40,-.41,-.60,-.48,-.38,-.17
1896,-.27,-.33,-.57,-.50,-.48,-.50,-.26,-.43,-.15,-.08,-.49,-.26,-.36,-.35,-.24,-.52,-.40,-.24
1897,-.29,-.56,-.36,-.16,-.32,-.23,-.17,-.37,-.20,-.28,-.07,-.29,-.28,-.27,-.37,-.28,-.26,-.18
1898,-.17,-.50,-.85,-.60,-.68,-.35,-.40,-.28,-.08,-.46,-.52,-.26,-.43,-.43,-.32,-.71,-.34,-.35
1899,-.48,-.65,-.44,-.31,-.46,-.60,-.34,-.32,-.06,-.32,-.07,-.27,-.36,-.36,-.46,-.40,-.42,-.15
1900,-.59,-.10,-.22,-.21,-.22,-.17,-.41,-.22,-.13,.09,-.18,-.11,-.21,-.22,-.32,-.22,-.27,-.07
1901,-.30,-.16,-.16,-.14,-.26,-.03,-.31,-.28,-.04,-.25,-.19,-.28,-.20,-.19,-.19,-.19,-.21,-.16
1902,-.37,-.10,-.23,-.25,-.37,-.43,-.51,-.57,-.47,-.53,-.55,-.62,-.42,-.39,-.25,-.28,-.50,-.52
1903,-.41,-.21,-.24,-.63,-.52,-.70,-.38,-.49,-.47,-.55,-.52,-.67,-.48,-.48,-.41,-.46,-.52,-.51
1904,-.84,-.81,-.61,-.49,-.69,-.54,-.67,-.56,-.50,-.58,-.32,-.46,-.59,-.61,-.77,-.60,-.59,-.47
1905,-.46,-1.04,-.28,-.35,-.40,-.35,-.48,-.32,-.26,-.40,-.11,-.29,-.40,-.41,-.66,-.34,-.39,-.26
1906,-.21,-.41,-.38,.02,-.24,-.28,-.28,-.23,-.35,-.23,-.58,-.31,-.29,-.29,-.30,-.20,-.26,-.39
1907,-.54,-.74,-.51,-.66,-.64,-.72,-.47,-.60,-.43,-.38,-.65,-.71,-.59,-.55,-.53,-.61,-.60,-.49
1908,-.41,-.37,-.56,-.49,-.37,-.47,-.44,-.43,-.20,-.44,-.63,-.45,-.44,-.46,-.50,-.47,-.45,-.43
1909,-.83,-.63,-.54,-.65,-.63,-.47,-.40,-.15,-.24,-.22,-.19,-.59,-.46,-.45,-.63,-.61,-.34,-.22
1910,-.51,-.44,-.50,-.36,-.30,-.39,-.26,-.17,-.14,-.35,-.57,-.70,-.39,-.38,-.51,-.39,-.27,-.35
1911,-.70,-.70,-.67,-.57,-.43,-.42,-.20,-.29,-.29,-.21,-.18,-.30,-.41,-.45,-.70,-.56,-.31,-.23
1912,-.23,-.15,-.46,-.33,-.24,-.31,-.53,-.66,-.38,-.51,-.48,-.37,-.39,-.38,-.22,-.34,-.50,-.45
1913,-.48,-.54,-.63,-.34,-.66,-.64,-.25,-.23,-.23,-.33,-.20,.00,-.38,-.41,-.46,-.54,-.37,-.25
1914,.09,-.09,-.10,-.25,-.06,-.12,-.25,-.13,-.13,.08,-.37,-.27,-.13,-.11,.00,-.13,-.17,-.14
1915,-.25,.00,-.12,-.08,-.25,-.28,-.02,-.23,-.06,-.15,.00,-.16,-.13,-.14,-.17,-.15,-.18,-.07
1916,-.14,-.20,-.49,-.35,-.41,-.56,-.40,-.16,-.23,-.21,-.44,-.85,-.37,-.31,-.17,-.42,-.37,-.29
1917,-.57,-.80,-.85,-.58,-.85,-.52,-.06,-.44,-.37,-.55,-.39,-.98,-.58,-.57,-.74,-.76,-.34,-.44
1918,-.67,-.67,-.56,-.59,-.83,-.49,-.53,-.54,-.23,-.03,-.31,-.42,-.49,-.54,-.77,-.66,-.52,-.19
1919,-.35,-.31,-.17,-.18,-.22,-.24,-.15,-.14,-.25,-.12,-.48,-.35,-.25,-.25,-.36,-.19,-.17,-.28
1920,-.18,-.35,-.24,-.27,-.38,-.44,-.28,-.22,-.23,-.51,-.40,-.55,-.34,-.32,-.29,-.29,-.31,-.38
1921,-.08,-.23,-.18,-.25,-.25,-.17,-.06,-.53,-.20,-.17,-.33,-.24,-.22,-.25,-.29,-.23,-.25,-.23
1922,-.47,-.53,-.37,-.17,-.44,-.39,-.10,-.31,-.20,-.33,-.17,-.21,-.31,-.31,-.41,-.32,-.27,-.23
1923,-.32,-.29,-.28,-.54,-.38,-.34,-.56,-.43,-.36,-.16,-.09,-.14,-.32,-.33,-.27,-.40,-.44,-.20
1924,-.34,-.49,-.19,-.57,-.34,-.24,-.22,-.23,-.12,-.19,-.13,-.34,-.28,-.27,-.32,-.37,-.23,-.15
1925,-.48,-.41,-.33,-.21,-.39,-.47,-.46,-.15,-.35,-.41,-.07,.14,-.30,-.34,-.41,-.31,-.36,-.28
1926,.20,.22,.15,-.18,-.42,-.28,-.21,-.04,-.04,-.17,-.03,-.32,-.09,-.06,.18,-.15,-.18,-.08
1927,-.24,-.25,-.44,-.40,-.36,-.31,-.10,-.33,-.17,.10,.06,-.29,-.23,-.23,-.27,-.40,-.25,-.01
1928,-.01,-.06,-.15,-.14,-.43,-.59,-.12,-.09,-.03,-.10,.04,-.09,-.15,-.16,-.12,-.24,-.27,-.03
1929,-.32,-.58,-.41,-.48,-.46,-.48,-.43,-.42,-.25,-.03,-.09,-.65,-.38,-.34,-.33,-.45,-.44,-.12
1930,-.26,-.26,-.11,-.27,-.21,-.27,-.25,-.23,-.18,-.32,.06,-.11,-.20,-.25,-.39,-.20,-.25,-.15
1931,-.16,-.32,-.08,-.32,-.21,-.12,.04,.07,-.19,.00,-.20,.04,-.12,-.13,-.20,-.20,.00,-.13
1932,.30,-.32,-.24,.04,-.21,-.48,-.25,-.20,.04,.06,-.13,-.18,-.13,-.11,.01,-.14,-.31,-.01
